date,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2021-05-19 00:00:00+00:00,1621382400,3384.53,3395.46,3375.96,3375.96,247.3,837882.11,force_direct,
2021-05-19 00:01:00+00:00,1621382460,3368.72,3384.54,3361.72,3384.53,477.21,1608269.12,force_direct,
2021-05-19 00:02:00+00:00,1621382520,3360.88,3372.83,3359.45,3368.72,335.98,1130807.1,force_direct,
2021-05-19 00:03:00+00:00,1621382580,3374,3377.17,3360.88,3360.88,242.56,817043.41,force_direct,
2021-05-19 00:04:00+00:00,1621382640,3360,3374.41,3357,3374,147.36,495529.21,force_direct,
2021-05-19 00:05:00+00:00,1621382700,3363,3368.73,3356.8,3360,151.56,509477.44,force_direct,
2021-05-19 00:06:00+00:00,1621382760,3398.15,3398.85,3363,3363,379.91,1286322.68,force_direct,
2021-05-19 00:07:00+00:00,1621382820,3418.23,3418.65,3395.92,3398.15,882.76,3012377.94,force_direct,
2021-05-19 00:08:00+00:00,1621382880,3418.43,3424.33,3415.58,3418.23,890.3,3044384.49,force_direct,
2021-05-19 00:09:00+00:00,1621382940,3422,3424.34,3410.92,3418.43,257.68,880994.15,force_direct,
2021-05-19 00:10:00+00:00,1621383000,3425.87,3430,3418.36,3422,458.31,1569342.31,force_direct,
2021-05-19 00:11:00+00:00,1621383060,3424.31,3433.48,3421,3425.87,400.88,1374071.41,force_direct,
2021-05-19 00:12:00+00:00,1621383120,3427.75,3428.04,3420.67,3424.31,131.48,450251.11,force_direct,
2021-05-19 00:13:00+00:00,1621383180,3443.83,3444.96,3422.22,3427.75,411.6,1413346.45,force_direct,
2021-05-19 00:14:00+00:00,1621383240,3429.6,3443.83,3428.28,3443.83,415.25,1426372.54,force_direct,
2021-05-19 00:15:00+00:00,1621383300,3418.72,3430.45,3417.86,3429.6,462.5,1583607.28,force_direct,
2021-05-19 00:16:00+00:00,1621383360,3420.14,3424.99,3414.65,3418.72,363.43,1243291.66,force_direct,
2021-05-19 00:17:00+00:00,1621383420,3414.1,3423.95,3412.89,3420.14,207.05,708059.64,force_direct,
2021-05-19 00:18:00+00:00,1621383480,3418.4,3422.12,3412.23,3414.1,182.84,624745,force_direct,
2021-05-19 00:19:00+00:00,1621383540,3406.66,3418.4,3406.33,3418.4,276.75,944661.36,force_direct,
2021-05-19 00:20:00+00:00,1621383600,3405.83,3415.3,3404.28,3406.66,331.1,1128829.32,force_direct,
2021-05-19 00:21:00+00:00,1621383660,3407.75,3410,3404.28,3405.83,110.69,377139.97,force_direct,
2021-05-19 00:22:00+00:00,1621383720,3415.53,3418.5,3406.29,3407.75,243.39,830623.39,force_direct,
2021-05-19 00:23:00+00:00,1621383780,3416.63,3418.69,3407.12,3415.53,88.14,300719.61,force_direct,
2021-05-19 00:24:00+00:00,1621383840,3419.11,3427,3416.63,3416.63,172.95,591873.62,force_direct,
2021-05-19 00:25:00+00:00,1621383900,3420.03,3426.9,3419.11,3419.11,132.02,451820.6,force_direct,
2021-05-19 00:26:00+00:00,1621383960,3419.58,3423.66,3414.97,3420.03,279.43,955175.82,force_direct,
2021-05-19 00:27:00+00:00,1621384020,3422.29,3427,3416.9,3419.58,107.46,367930.16,force_direct,
2021-05-19 00:28:00+00:00,1621384080,3424.26,3424.75,3420.02,3422.29,63.57,217552.08,force_direct,
2021-05-19 00:29:00+00:00,1621384140,3421.64,3425.2,3419.04,3424.26,125.14,428250.74,force_direct,
2021-05-19 00:30:00+00:00,1621384200,3411.67,3423.68,3411.67,3421.64,78.61,268609.09,force_direct,
2021-05-19 00:31:00+00:00,1621384260,3414.91,3419.42,3411.67,3411.67,145.88,498206.66,force_direct,
2021-05-19 00:32:00+00:00,1621384320,3414.01,3417.38,3413.04,3414.91,72.12,246285.94,force_direct,
2021-05-19 00:33:00+00:00,1621384380,3396.57,3416.19,3395,3414.01,364.4,1240170.19,force_direct,
2021-05-19 00:34:00+00:00,1621384440,3392.49,3404.09,3389.49,3396.57,369.29,1253538.18,force_direct,
2021-05-19 00:35:00+00:00,1621384500,3386.45,3392.49,3385,3392.49,476,1613388.64,force_direct,
2021-05-19 00:36:00+00:00,1621384560,3392.42,3395.9,3383.53,3386.45,454.88,1541158.52,force_direct,
2021-05-19 00:37:00+00:00,1621384620,3387.47,3396,3385.06,3392.42,208.67,707522.22,force_direct,
2021-05-19 00:38:00+00:00,1621384680,3388.59,3395.57,3385.89,3387.47,171.67,582000.89,force_direct,
2021-05-19 00:39:00+00:00,1621384740,3391.58,3394.96,3385.05,3388.59,130.58,442836.46,force_direct,
2021-05-19 00:40:00+00:00,1621384800,3391.35,3393.51,3386.41,3391.58,164.61,558129.06,force_direct,
2021-05-19 00:41:00+00:00,1621384860,3399.98,3399.99,3388.87,3391.35,168.05,570420.75,force_direct,
2021-05-19 00:42:00+00:00,1621384920,3404.2,3405.01,3395.91,3399.98,283.66,964850.79,force_direct,
