date,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2022-01-22 00:00:00+00:00,1642809600,2579.94,2581.41,2561.51,2569.01,510.27,1311787.65,force_direct,
2022-01-22 00:01:00+00:00,1642809660,2595.85,2597.43,2579.21,2579.94,1040.38,2689593.12,force_direct,
2022-01-22 00:02:00+00:00,1642809720,2599.51,2617.83,2592.9,2595.85,1552.87,4046957.53,force_direct,
2022-01-22 00:03:00+00:00,1642809780,2599.82,2601.33,2590.63,2599.51,622.81,1617290.31,force_direct,
2022-01-22 00:04:00+00:00,1642809840,2577.61,2604.27,2575.17,2599.82,800.7,2074818.16,force_direct,
2022-01-22 00:05:00+00:00,1642809900,2576.19,2584.38,2573.57,2577.61,439.69,1133734.72,force_direct,
2022-01-22 00:06:00+00:00,1642809960,2571.55,2576.19,2564.4,2576.19,351.91,904674.43,force_direct,
2022-01-22 00:07:00+00:00,1642810020,2560.86,2571.55,2560,2571.55,482.72,1238760.38,force_direct,
2022-01-22 00:08:00+00:00,1642810080,2556.91,2566.08,2555.33,2560.86,572.23,1465439.79,force_direct,
2022-01-22 00:09:00+00:00,1642810140,2557.21,2557.62,2549.81,2556.91,542.94,1386110.64,force_direct,
2022-01-22 00:10:00+00:00,1642810200,2555.11,2564.85,2550.22,2557.21,450.49,1152179.46,force_direct,
2022-01-22 00:11:00+00:00,1642810260,2562.84,2563.34,2553.94,2555.11,401.56,1026992.87,force_direct,
2022-01-22 00:12:00+00:00,1642810320,2555.17,2563.97,2550,2562.84,405.84,1037729.63,force_direct,
2022-01-22 00:13:00+00:00,1642810380,2559.19,2560.46,2550,2555.17,361.69,923933.68,force_direct,
2022-01-22 00:14:00+00:00,1642810440,2572.52,2580.04,2559.19,2559.19,468.22,1203902.96,force_direct,
2022-01-22 00:15:00+00:00,1642810500,2567.64,2572.52,2562.88,2572.52,300.48,771580.36,force_direct,
2022-01-22 00:16:00+00:00,1642810560,2555.27,2569.36,2553.73,2567.64,367.42,940407.51,force_direct,
2022-01-22 00:17:00+00:00,1642810620,2560.89,2563.06,2552.92,2555.27,365.09,934014.03,force_direct,
2022-01-22 00:18:00+00:00,1642810680,2564.13,2565.7,2558.42,2560.89,297.72,762763.32,force_direct,
2022-01-22 00:19:00+00:00,1642810740,2560.29,2564.13,2556.56,2564.13,357.75,915796.76,force_direct,
2022-01-22 00:20:00+00:00,1642810800,2579.99,2580.29,2555.93,2560.29,561.76,1443768.93,force_direct,
2022-01-22 00:21:00+00:00,1642810860,2584.25,2590.37,2574.85,2579.99,826.25,2132945.88,force_direct,
2022-01-22 00:22:00+00:00,1642810920,2580.87,2588.52,2575.76,2584.25,484.88,1251908.62,force_direct,
2022-01-22 00:23:00+00:00,1642810980,2580.46,2582.56,2574.72,2580.87,379.28,978491.04,force_direct,
2022-01-22 00:24:00+00:00,1642811040,2590.9,2592.64,2579.87,2580.46,343.04,887314.42,force_direct,
2022-01-22 00:25:00+00:00,1642811100,2586.77,2592.17,2584.05,2590.9,288.65,746832.54,force_direct,
2022-01-22 00:26:00+00:00,1642811160,2582.65,2588.92,2579.3,2586.77,332.93,860103.07,force_direct,
2022-01-22 00:27:00+00:00,1642811220,2582.36,2585.25,2576.08,2582.65,365.33,942544.87,force_direct,
2022-01-22 00:28:00+00:00,1642811280,2583.93,2585.59,2578.16,2582.36,282.92,730563.88,force_direct,
2022-01-22 00:29:00+00:00,1642811340,2585.24,2590.7,2578.9,2583.93,373.53,965260.78,force_direct,
2022-01-22 00:30:00+00:00,1642811400,2597.35,2598,2580.92,2585.24,420.44,1089920.25,force_direct,
2022-01-22 00:31:00+00:00,1642811460,2604.01,2606.87,2596.23,2597.35,525.98,1368329.44,force_direct,
2022-01-22 00:32:00+00:00,1642811520,2612.71,2612.87,2603.42,2604.01,590.49,1540310.67,force_direct,
2022-01-22 00:33:00+00:00,1642811580,2616.52,2618.75,2609.64,2612.71,448.18,1171889.86,force_direct,
2022-01-22 00:34:00+00:00,1642811640,2615.64,2624,2614.01,2616.52,774.27,2027043.82,force_direct,
2022-01-22 00:35:00+00:00,1642811700,2618.64,2621.67,2612.16,2615.64,990.34,2590716.5,force_direct,
2022-01-22 00:36:00+00:00,1642811760,2616,2621.63,2614.25,2618.64,633.49,1658364.68,force_direct,
2022-01-22 00:37:00+00:00,1642811820,2618.77,2621.36,2613.75,2616,385.46,1008630.79,force_direct,
2022-01-22 00:38:00+00:00,1642811880,2616.47,2621.09,2615.16,2618.77,206.85,541462.28,force_direct,
2022-01-22 00:39:00+00:00,1642811940,2622.37,2628.36,2615,2616.47,366.18,960790.46,force_direct,
2022-01-22 00:40:00+00:00,1642812000,2612.03,2623.32,2608.64,2622.37,382,998871.23,force_direct,
2022-01-22 00:41:00+00:00,1642812060,2611.93,2613.1,2605.28,2612.03,238.32,621708.93,force_direct,
2022-01-22 00:42:00+00:00,1642812120,2616.12,2616.74,2606.34,2611.93,307.24,801888.35,force_direct,
2022-01-22 00:43:00+00:00,1642812180,2610.25,2616.95,2608.7,2616.12,459.52,1200627.21,force_direct,
