date,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2021-05-23 00:00:00+00:00,1621728000,2289.32,2298.64,2286.4,2297.19,334.5,766412.85,force_direct,
2021-05-23 00:01:00+00:00,1621728060,2276.13,2289.32,2265.65,2289.32,1163.19,2648605.36,force_direct,
2021-05-23 00:02:00+00:00,1621728120,2270.16,2286.04,2268.33,2276.13,999.93,2276276.35,force_direct,
2021-05-23 00:03:00+00:00,1621728180,2268.94,2276.96,2265,2270.16,864.34,1963119.12,force_direct,
2021-05-23 00:04:00+00:00,1621728240,2264.48,2273.97,2262.08,2268.94,615.25,1394583.56,force_direct,
2021-05-23 00:05:00+00:00,1621728300,2256.15,2271.89,2256,2264.48,1027.92,2324939.07,force_direct,
2021-05-23 00:06:00+00:00,1621728360,2274.37,2275.54,2256,2256.15,946.01,2139911.25,force_direct,
2021-05-23 00:07:00+00:00,1621728420,2276.41,2279.94,2267.67,2274.37,486.21,1105389.31,force_direct,
2021-05-23 00:08:00+00:00,1621728480,2273.29,2283.56,2271.27,2276.41,766.93,1747636.21,force_direct,
2021-05-23 00:09:00+00:00,1621728540,2276.99,2282.94,2273.29,2273.29,476.03,1084538.84,force_direct,
2021-05-23 00:10:00+00:00,1621728600,2281.93,2282.72,2270,2276.99,451.57,1028554.74,force_direct,
2021-05-23 00:11:00+00:00,1621728660,2280.34,2282.9,2276.96,2281.93,181.63,414136.63,force_direct,
2021-05-23 00:12:00+00:00,1621728720,2289.42,2292.69,2279.74,2280.34,435.62,996368.02,force_direct,
2021-05-23 00:13:00+00:00,1621728780,2300,2300,2287.92,2289.42,418.36,959737.45,force_direct,
2021-05-23 00:14:00+00:00,1621728840,2298.74,2304.47,2294.1,2300,416.08,957258.17,force_direct,
2021-05-23 00:15:00+00:00,1621728900,2287.42,2298.95,2284.43,2298.74,397.17,908996.2,force_direct,
2021-05-23 00:16:00+00:00,1621728960,2283.46,2296.06,2283.19,2287.42,176.88,404921.62,force_direct,
2021-05-23 00:17:00+00:00,1621729020,2300.51,2300.52,2282.83,2283.46,214.93,492164.74,force_direct,
2021-05-23 00:18:00+00:00,1621729080,2311.88,2315.53,2300.51,2300.51,583.93,1349069.58,force_direct,
2021-05-23 00:19:00+00:00,1621729140,2308.49,2315.94,2305.35,2311.88,581.6,1343261.17,force_direct,
2021-05-23 00:20:00+00:00,1621729200,2302.16,2310.72,2301.28,2308.49,334.44,771136.84,force_direct,
2021-05-23 00:21:00+00:00,1621729260,2301.88,2309.58,2301.01,2302.16,287.86,663643.52,force_direct,
2021-05-23 00:22:00+00:00,1621729320,2304.83,2308.64,2296.79,2301.88,274.32,632346.23,force_direct,
2021-05-23 00:23:00+00:00,1621729380,2300.31,2305.92,2297.85,2304.83,189.19,435556.93,force_direct,
2021-05-23 00:24:00+00:00,1621729440,2302.71,2307.46,2300.31,2300.31,255.49,588764.48,force_direct,
2021-05-23 00:25:00+00:00,1621729500,2306.72,2307.74,2301.03,2302.71,113.71,262142.56,force_direct,
2021-05-23 00:26:00+00:00,1621729560,2301.86,2306.97,2300.41,2306.72,159.17,366642.75,force_direct,
2021-05-23 00:27:00+00:00,1621729620,2296.28,2301.86,2287.09,2301.86,374.61,858881.2,force_direct,
2021-05-23 00:28:00+00:00,1621729680,2293.34,2297.48,2290.41,2296.28,332.87,763493.93,force_direct,
2021-05-23 00:29:00+00:00,1621729740,2307.35,2308.26,2292.05,2293.34,401.38,924513.52,force_direct,
2021-05-23 00:30:00+00:00,1621729800,2317.66,2319.74,2305.16,2307.35,457.99,1060436.47,force_direct,
2021-05-23 00:31:00+00:00,1621729860,2315,2319.37,2312.47,2317.66,564.91,1308328.62,force_direct,
2021-05-23 00:32:00+00:00,1621729920,2310.96,2315,2307.69,2315,343.27,793393.94,force_direct,
2021-05-23 00:33:00+00:00,1621729980,2307.16,2310.96,2301.57,2310.96,195.72,451361.44,force_direct,
2021-05-23 00:34:00+00:00,1621730040,2306.41,2307.87,2301.13,2307.16,118.6,273419.51,force_direct,
2021-05-23 00:35:00+00:00,1621730100,2315.03,2320.25,2306.41,2306.41,621.72,1438746.67,force_direct,
2021-05-23 00:36:00+00:00,1621730160,2320.24,2322.34,2315.03,2315.03,277.98,644761.15,force_direct,
2021-05-23 00:37:00+00:00,1621730220,2317.49,2324,2312.89,2320.24,281.13,652138.72,force_direct,
2021-05-23 00:38:00+00:00,1621730280,2325.55,2325.55,2316.86,2317.49,222.08,515686.79,force_direct,
2021-05-23 00:39:00+00:00,1621730340,2326.51,2326.67,2322.59,2325.55,159.3,370319.23,force_direct,
2021-05-23 00:40:00+00:00,1621730400,2324.25,2328.79,2322.66,2326.51,274,637344.57,force_direct,
2021-05-23 00:41:00+00:00,1621730460,2329.52,2338,2323.48,2324.25,275.53,642674.05,force_direct,
2021-05-23 00:42:00+00:00,1621730520,2329.68,2334.63,2328.88,2329.52,184.5,430123.69,force_direct,
2021-05-23 00:43:00+00:00,1621730580,2339.45,2345.54,2329.68,2329.68,377.03,881195.75,force_direct,
2021-05-23 00:44:00+00:00,1621730640,2346.61,2348.55,2339.45,2339.45,620.24,1453955.92,force_direct,
2021-05-23 00:45:00+00:00,1621730700,2340.79,2351.92,2340.57,2346.61,728.15,1709105.61,force_direct,
2021-05-23 00:46:00+00:00,1621730760,2339.44,2345,2337.23,2340.79,511.08,1197163.55,force_direct,
2021-05-23 00:47:00+00:00,1621730820,2347.39,2349.36,2339.26,2339.44,319.43,749292.95,force_direct,
2021-05-23 00:48:00+00:00,1621730880,2351.84,2354.27,2347.22,2347.39,322.95,759548.48,force_direct,
2021-05-23 00:49:00+00:00,1621730940,2354.29,2356.26,2349.57,2351.84,430.73,1013701.64,force_direct,
2021-05-23 00:50:00+00:00,1621731000,2358.66,2359.41,2352.11,2354.29,328.58,774157.85,force_direct,
2021-05-23 00:51:00+00:00,1621731060,2359.81,2360,2355.38,2358.66,278.69,657282.45,force_direct,
2021-05-23 00:52:00+00:00,1621731120,2354.8,2361.71,2351.69,2359.81,230,542027.46,force_direct,
2021-05-23 00:53:00+00:00,1621731180,2356.93,2357.73,2353.12,2354.8,268.34,632111.64,force_direct,
2021-05-23 00:54:00+00:00,1621731240,2352.09,2356.93,2351.15,2356.93,242.61,571046.02,force_direct,
2021-05-23 00:55:00+00:00,1621731300,2353.04,2357.47,2351.79,2352.09,181.89,428270.14,force_direct,
