date,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2021-09-21 00:00:00+00:00,1632182400,2972.12,2977.49,2969.35,2976.48,287.96,856581.68,force_direct,
2021-09-21 00:01:00+00:00,1632182460,2973.84,2974.07,2966.99,2972.12,182.05,540706.68,force_direct,
2021-09-21 00:02:00+00:00,1632182520,2971.93,2977.52,2965,2973.84,367.83,1093070.24,force_direct,
2021-09-21 00:03:00+00:00,1632182580,2969.62,2973.2,2965,2971.93,280.05,831322.06,force_direct,
2021-09-21 00:04:00+00:00,1632182640,2960.99,2969.62,2960,2969.62,157.3,466205.37,force_direct,
2021-09-21 00:05:00+00:00,1632182700,2955.57,2962.36,2955,2960.99,242.96,718957.61,force_direct,
2021-09-21 00:06:00+00:00,1632182760,2955,2957.49,2952.09,2955.57,238.32,704094.3,force_direct,
2021-09-21 00:07:00+00:00,1632182820,2944.58,2955,2942.69,2955,450.2,1327646.72,force_direct,
2021-09-21 00:08:00+00:00,1632182880,2941.17,2945.09,2934,2944.58,500.38,1470859.55,force_direct,
2021-09-21 00:09:00+00:00,1632182940,2931,2942.58,2929.75,2941.17,389.65,1143044.82,force_direct,
2021-09-21 00:10:00+00:00,1632183000,2928.92,2937.93,2927.01,2931,615.95,1806758.07,force_direct,
2021-09-21 00:11:00+00:00,1632183060,2916.35,2929.47,2916.13,2928.92,906.91,2649682.89,force_direct,
2021-09-21 00:12:00+00:00,1632183120,2917.42,2929.3,2911,2916.35,855.35,2496072.26,force_direct,
2021-09-21 00:13:00+00:00,1632183180,2884,2918.53,2884,2917.42,2397.68,6956350.61,force_direct,
2021-09-21 00:14:00+00:00,1632183240,2894.21,2899.48,2880.53,2884,727.66,2102989.56,force_direct,
2021-09-21 00:15:00+00:00,1632183300,2906.68,2909.97,2891.42,2894.21,951.1,2759579.71,force_direct,
2021-09-21 00:16:00+00:00,1632183360,2913.87,2919.33,2905.26,2906.68,557.62,1623760.62,force_direct,
2021-09-21 00:17:00+00:00,1632183420,2909.66,2915.23,2905.32,2913.87,551.48,1605478.21,force_direct,
2021-09-21 00:18:00+00:00,1632183480,2891.1,2909.66,2884.03,2909.66,662.52,1919026.72,force_direct,
2021-09-21 00:19:00+00:00,1632183540,2852.07,2893.93,2851.44,2891.1,1137.16,3261321.18,force_direct,
2021-09-21 00:20:00+00:00,1632183600,2856.97,2870.23,2851,2852.07,934.41,2672418.24,force_direct,
2021-09-21 00:21:00+00:00,1632183660,2837.83,2860.12,2836.39,2856.97,1605.44,4572543.63,force_direct,
2021-09-21 00:22:00+00:00,1632183720,2829.81,2840.36,2805.47,2837.83,1823.19,5147518.92,force_direct,
2021-09-21 00:23:00+00:00,1632183780,2839.76,2859.16,2820.98,2829.81,1409.15,4005244.92,force_direct,
2021-09-21 00:24:00+00:00,1632183840,2842.89,2856.72,2830,2839.76,1270.52,3608349.75,force_direct,
2021-09-21 00:25:00+00:00,1632183900,2845.45,2847.43,2831.17,2842.89,797.67,2265061.9,force_direct,
2021-09-21 00:26:00+00:00,1632183960,2853.43,2859.35,2843.57,2845.45,692.23,1974693.45,force_direct,
2021-09-21 00:27:00+00:00,1632184020,2862.04,2864.3,2850,2853.43,1084.39,3098644.83,force_direct,
2021-09-21 00:28:00+00:00,1632184080,2874.5,2877.4,2861.14,2862.04,859.87,2468625.63,force_direct,
2021-09-21 00:29:00+00:00,1632184140,2869.19,2882.46,2865.04,2874.5,1006.8,2892316.15,force_direct,
2021-09-21 00:30:00+00:00,1632184200,2867.23,2870.67,2859.41,2869.19,1191.5,3414223.38,force_direct,
2021-09-21 00:31:00+00:00,1632184260,2876.54,2876.83,2863.54,2867.23,559.91,1606745.26,force_direct,
2021-09-21 00:32:00+00:00,1632184320,2886.16,2886.17,2871.35,2876.54,565.32,1628822.51,force_direct,
2021-09-21 00:33:00+00:00,1632184380,2879.11,2890,2877.88,2886.16,655.12,1889261.45,force_direct,
2021-09-21 00:34:00+00:00,1632184440,2861.59,2882.18,2861.59,2879.11,716.65,2058745.8,force_direct,
2021-09-21 00:35:00+00:00,1632184500,2888.42,2894.56,2852.84,2861.59,880.34,2525194.99,force_direct,
2021-09-21 00:36:00+00:00,1632184560,2902.33,2902.65,2886.1,2888.42,596.87,1729770.66,force_direct,
2021-09-21 00:37:00+00:00,1632184620,2916.99,2917,2897.94,2902.33,807.38,2345408.22,force_direct,
2021-09-21 00:38:00+00:00,1632184680,2911.62,2918.75,2908.09,2916.99,861.95,2510069,force_direct,
2021-09-21 00:39:00+00:00,1632184740,2911.39,2915.77,2907.32,2911.62,404.34,1177247.59,force_direct,
2021-09-21 00:40:00+00:00,1632184800,2905.26,2917.8,2901.54,2911.39,535.99,1560460.32,force_direct,
2021-09-21 00:41:00+00:00,1632184860,2911.1,2911.1,2900,2905.26,617.65,1792803.64,force_direct,
2021-09-21 00:42:00+00:00,1632184920,2911.48,2918.7,2908.23,2911.1,850.75,2478784.09,force_direct,
2021-09-21 00:43:00+00:00,1632184980,2910.23,2913.01,2905.01,2911.48,386.02,1123172.36,force_direct,
2021-09-21 00:44:00+00:00,1632185040,2908.52,2910.43,2898,2910.23,641.96,1863613.51,force_direct,
2021-09-21 00:45:00+00:00,1632185100,2911.79,2913.28,2899,2908.52,430.39,1250507.55,force_direct,
2021-09-21 00:46:00+00:00,1632185160,2905.18,2912.28,2902.54,2911.79,625.51,1818277.59,force_direct,
2021-09-21 00:47:00+00:00,1632185220,2903.78,2909.95,2902.77,2905.18,284.55,826619.08,force_direct,
2021-09-21 00:48:00+00:00,1632185280,2894.13,2903.78,2888.36,2903.78,1056.2,3059056.13,force_direct,
2021-09-21 00:49:00+00:00,1632185340,2897.17,2901.41,2884.71,2894.13,789.11,2282124.85,force_direct,
2021-09-21 00:50:00+00:00,1632185400,2898.54,2902.95,2891.37,2897.17,463.21,1342371.92,force_direct,
2021-09-21 00:51:00+00:00,1632185460,2891.76,2899.97,2888.06,2898.54,372.95,1079425.31,force_direct,
2021-09-21 00:52:00+00:00,1632185520,2884.57,2893.58,2882.46,2891.76,598.89,1729437.71,force_direct,
2021-09-21 00:53:00+00:00,1632185580,2884.08,2888,2881.31,2884.57,412.67,1190439.9,force_direct,
2021-09-21 00:54:00+00:00,1632185640,2884.65,2885.96,2880.02,2884.08,377.91,1089351.63,force_direct,
2021-09-21 00:55:00+00:00,1632185700,2895.06,2896.43,2882.07,2884.65,295.43,853607.53,force_direct,
2021-09-21 00:56:00+00:00,1632185760,2891.96,2896.69,2890.65,2895.06,347.59,1005999.3,force_direct,
2021-09-21 00:57:00+00:00,1632185820,2888.52,2891.96,2884.17,2891.96,572.6,1652896.26,force_direct,
2021-09-21 00:58:00+00:00,1632185880,2887.13,2894.33,2886.59,2888.52,547.2,1581698.74,force_direct,
2021-09-21 00:59:00+00:00,1632185940,2882,2887.2,2881.01,2887.13,311.43,897781.43,force_direct,
2021-09-21 01:00:00+00:00,1632186000,2874.68,2887.84,2874.48,2882,464.44,1337377.09,force_direct,
2021-09-21 01:01:00+00:00,1632186060,2882.69,2885.13,2871.37,2874.68,568.5,1635834.94,force_direct,
2021-09-21 01:02:00+00:00,1632186120,2893.1,2895.56,2882.15,2882.69,388.61,1123305.99,force_direct,
2021-09-21 01:03:00+00:00,1632186180,2889.01,2895.75,2887.09,2893.1,541.75,1567072.7,force_direct,
2021-09-21 01:04:00+00:00,1632186240,2899.99,2900,2889,2889.01,401.57,1162485.23,force_direct,
2021-09-21 01:05:00+00:00,1632186300,2901.19,2906.72,2895.93,2899.99,311.66,904136.88,force_direct,
2021-09-21 01:06:00+00:00,1632186360,2907.16,2908.08,2898.14,2901.19,850.64,2469608.22,force_direct,
2021-09-21 01:07:00+00:00,1632186420,2905.23,2908.1,2901.33,2907.16,1694.6,4921703.93,force_direct,
2021-09-21 01:08:00+00:00,1632186480,2908.87,2909.42,2903.16,2905.23,788.86,2291543.78,force_direct,
2021-09-21 01:09:00+00:00,1632186540,2900.33,2908.87,2900.33,2908.87,313.31,909548.75,force_direct,
2021-09-21 01:10:00+00:00,1632186600,2893.65,2901.23,2892.88,2900.33,291.66,844921.81,force_direct,
2021-09-21 01:11:00+00:00,1632186660,2892.75,2896.13,2890.57,2893.65,265.97,769703.91,force_direct,
2021-09-21 01:12:00+00:00,1632186720,2890.64,2893.94,2889.88,2892.75,214.12,619120.06,force_direct,
