date,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2021-12-14 00:00:00+00:00,1639440000,3778.54,3786.71,3778.2,3783.81,78.19,295764.64,force_direct,
2021-12-14 00:01:00+00:00,1639440060,3774.18,3780.62,3769.7,3778.54,177,667958.2,force_direct,
2021-12-14 00:02:00+00:00,1639440120,3779.53,3779.53,3765.7,3774.18,218.98,825950.32,force_direct,
2021-12-14 00:03:00+00:00,1639440180,3772.02,3780.44,3770.08,3779.53,240.14,906505.55,force_direct,
2021-12-14 00:04:00+00:00,1639440240,3768.62,3773.99,3767.43,3772.02,210.68,794293.41,force_direct,
2021-12-14 00:05:00+00:00,1639440300,3776.63,3777.78,3768.62,3768.62,155.36,586327.91,force_direct,
2021-12-14 00:06:00+00:00,1639440360,3788.59,3789.2,3774.3,3776.63,136.25,515403.41,force_direct,
2021-12-14 00:07:00+00:00,1639440420,3794.77,3794.77,3785.14,3788.59,87.11,330100.51,force_direct,
2021-12-14 00:08:00+00:00,1639440480,3799.83,3799.89,3793.27,3794.77,274.38,1041772.35,force_direct,
2021-12-14 00:09:00+00:00,1639440540,3797.36,3799.99,3795.53,3799.83,234.06,888933.92,force_direct,
2021-12-14 00:10:00+00:00,1639440600,3791.05,3797.36,3788.97,3797.36,98.08,371989.49,force_direct,
2021-12-14 00:11:00+00:00,1639440660,3798.41,3799.93,3790.05,3791.05,75.41,286232.89,force_direct,
2021-12-14 00:12:00+00:00,1639440720,3796.32,3799.87,3795.64,3798.41,78.68,298823.64,force_direct,
2021-12-14 00:13:00+00:00,1639440780,3784.04,3796.87,3780,3796.32,177.04,670147.61,force_direct,
2021-12-14 00:14:00+00:00,1639440840,3778,3785.32,3773.64,3784.04,80.9,305684.44,force_direct,
2021-12-14 00:15:00+00:00,1639440900,3777.67,3779.56,3773.26,3778,91.27,344706.41,force_direct,
2021-12-14 00:16:00+00:00,1639440960,3768.52,3779.8,3768.52,3777.67,138.36,522228.82,force_direct,
2021-12-14 00:17:00+00:00,1639441020,3769.69,3773.98,3766.98,3768.52,176.41,665215.94,force_direct,
2021-12-14 00:18:00+00:00,1639441080,3772.93,3774.9,3766.49,3769.69,125.39,472806.36,force_direct,
2021-12-14 00:19:00+00:00,1639441140,3776.45,3776.45,3772.16,3772.93,128.61,485458.57,force_direct,
2021-12-14 00:20:00+00:00,1639441200,3784.64,3785.22,3772.95,3776.45,88.76,335480.73,force_direct,
2021-12-14 00:21:00+00:00,1639441260,3780.81,3784.64,3779.19,3784.64,91.05,344324.29,force_direct,
2021-12-14 00:22:00+00:00,1639441320,3785.24,3785.24,3780.66,3780.81,62.56,236691.91,force_direct,
2021-12-14 00:23:00+00:00,1639441380,3794.88,3795.26,3784.42,3785.24,253.89,962055.71,force_direct,
2021-12-14 00:24:00+00:00,1639441440,3795.79,3797.62,3791.19,3794.88,230.89,876194.38,force_direct,
2021-12-14 00:25:00+00:00,1639441500,3796.49,3798.52,3793.99,3795.79,91.35,346812.86,force_direct,
2021-12-14 00:26:00+00:00,1639441560,3802.2,3802.25,3796.04,3796.49,202.06,767626.72,force_direct,
2021-12-14 00:27:00+00:00,1639441620,3809,3809.74,3802.2,3802.2,249.97,951462.16,force_direct,
2021-12-14 00:28:00+00:00,1639441680,3816.73,3818.25,3806.38,3809,287.76,1096573.53,force_direct,
2021-12-14 00:29:00+00:00,1639441740,3815.82,3817.7,3811.71,3816.73,128.6,490693.66,force_direct,
2021-12-14 00:30:00+00:00,1639441800,3813.08,3818.84,3813.01,3815.82,198.12,756123.75,force_direct,
2021-12-14 00:31:00+00:00,1639441860,3816.16,3816.85,3809.13,3813.08,180.77,689301.74,force_direct,
2021-12-14 00:32:00+00:00,1639441920,3820.65,3823,3814.91,3816.16,380.72,1454146.02,force_direct,
2021-12-14 00:33:00+00:00,1639441980,3823.16,3823.16,3816.77,3820.65,142.49,544288.21,force_direct,
2021-12-14 00:34:00+00:00,1639442040,3821.1,3823.33,3815.81,3823.16,570.18,2178158.73,force_direct,
2021-12-14 00:35:00+00:00,1639442100,3832.8,3833.33,3819.99,3821.1,311.48,1192283.18,force_direct,
2021-12-14 00:36:00+00:00,1639442160,3825.34,3833.33,3825.34,3832.8,280.62,1074976.69,force_direct,
2021-12-14 00:37:00+00:00,1639442220,3822.1,3826.51,3821.1,3825.34,76.47,292408.21,force_direct,
